"TFName","mean_of_gene_mean_abs_TSS_distance","TF_distance_class"
"FEV",82210.0447688564,"distal_TF"
"ETV2::DRGX",82291.5897435897,"distal_TF"
"EBF3",82405.7828270088,"distal_TF"
"GCM2",82605.9497863248,"distal_TF"
"TRPS1",82622.5760683761,"distal_TF"
"TBX2",82627.8132420091,"distal_TF"
"CLOCK",82705.7544867277,"distal_TF"
"TFE3",83043.68,"distal_TF"
"NKX2-5",83419.4495798319,"distal_TF"
"KLF5",83422.3253834269,"distal_TF"
"SMAD3",83454.8333333333,"distal_TF"
"MYCN",83485.0641304348,"distal_TF"
"NFIA",83668.2148421325,"distal_TF"
"Dlx3",83751.4845238095,"distal_TF"
"POU4F3",83844.3333333333,"distal_TF"
"SP5",84087.119942534,"distal_TF"
"ZNF75A",84122.7777777778,"distal_TF"
"NR2F6",84147.8,"distal_TF"
"USF1",84319.2844827586,"distal_TF"
"Dlx4",84523.6537335911,"distal_TF"
"DLX6",84533.5434486231,"distal_TF"
"ELF1",84621.1557359307,"distal_TF"
"NR2C1",84656.5830103149,"distal_TF"
"ISL2",84752.9282315832,"distal_TF"
"ZNF263",85038.8900306074,"distal_TF"
"GATA6",85102.8935028249,"distal_TF"
"ETV5",85263.8293520687,"distal_TF"
"TCF4",85476.4171190075,"distal_TF"
"TEAD1",85509.1111111111,"distal_TF"
"ZSCAN21",85604.4991319444,"distal_TF"
"Hoxd13",85606.0511627907,"distal_TF"
"MSANTD3",85692.4602564103,"distal_TF"
"GATA5",85704.2428303906,"distal_TF"
"PKNOX2",85884,"distal_TF"
"TGIF1",85884,"distal_TF"
"OLIG2",86019.4916666667,"distal_TF"
"FOXD3",86050.5386904762,"distal_TF"
"BARHL1",86149.5881587301,"distal_TF"
"MEF2C",86204.402173913,"distal_TF"
"HOXD9",86315.411,"distal_TF"
"MITF",86439.8571428571,"distal_TF"
"Nr1h3::Rxra",86454.7419354839,"distal_TF"
"TLX2",86513.6174300144,"distal_TF"
"RAX",86723.4824618364,"distal_TF"
"MAFK",86883.9341666667,"distal_TF"
"Ahr::Arnt",86995.4957414488,"distal_TF"
"TBR1",87298.58,"distal_TF"
"Ikzf3",87329.7783023944,"distal_TF"
