"TFName","n_genes_targeted","total_positive_events","mean_of_gene_mean_abs_TSS_distance","median_of_gene_mean_abs_TSS_distance","sd_gene_mean_abs_TSS_distance"
"MAFK",40,158,86883.9341666667,30298.8333333333,179299.674071232
"Ahr::Arnt",160,715,86995.4957414488,18985.75,192615.871950984
"TBR1",45,109,87298.58,23708,122293.351611502
"Ikzf3",177,813,87329.7783023944,22214,151519.309530096
"TGIF2LY",12,72,87621.3333333333,23320.5,113161.809490444
"SHOX",88,314,87904.898481569,27143.5,152355.986989921
"DUX4",55,183,87999.1038961039,40725,146230.666541274
"SPIB",129,565,88106.7901808786,29380,137790.988885119
"MEIS2",83,322,88118.6582042456,29402.5,124674.869889083
"POU3F1",24,57,88234.5,40715,170105.801127467
"FOXD1",50,134,88316.1466666667,47283.5,113239.607614598
"MEIS3",149,616,88538.615933712,23154,147666.40483105
"Irf1",64,247,88739.0692708333,30092,139142.490544465
"ELK4",210,1168,88833.242281746,21547.3333333333,162349.416610678
"TCF3",88,339,88890.8664799216,8933.25,243061.999412742
"FOXA3",61,175,88954.0806010929,49488,113984.516782487
"CREB1",32,130,89267.4270833333,15209.5,187794.199331924
"ATOH7",98,512,89357.643148688,21893.1666666667,214258.78303814
"ELF2",212,1177,89389.280345912,22529,160384.856029418
"SOX21",1,2,89458,89458,NA
"ZNF257",146,684,89487.305827848,18011.25,200841.210494513
"NFIX",203,1328,89493.7770137285,20234.6,191246.29665227
"SREBF2",39,184,89516.6282051282,41535,115311.937041257
"HOXA1",88,490,89691.5263933983,25577.625,157139.938213751
"TBP",85,350,89724.6559122316,40717,105445.851089662
"Dmrt1",30,84,89841.7666666667,37858,105864.45615118
"TBX4",111,392,90040.4206251706,20278,207194.765139001
"NFKB1",13,70,90078.4307692308,21172,124643.186865731
"EMX1",54,249,90099.6367965368,30461.5,157103.874690763
"GATA1::TAL1",13,45,90172.2307692308,15685,124431.161173661
"PAX2",23,68,90185.9043478261,21960,179078.851516591
"MNX1",132,628,90203.5886997564,27136.5,150259.209506463
"Esrrg",50,126,90321.045,29660,154009.181641607
"NKX2-4",156,638,90472.9627040357,18689.5,201714.720120909
"ZNF766",80,292,90678.60375,30732,142849.560729476
"Lhx8",129,851,90860.1645686901,30851,149898.052433754
"SMAD2",120,374,90867.4035225885,19095.5,170949.307232058
"ZBTB26",68,222,91117.0696778711,22079,174727.712772985
"ZBTB6",39,106,91159.1282051282,15600,182599.342998426
"Foxo1",66,193,91163.2247474747,40613.6666666667,126396.282203113
"MSX1",93,380,91302.2463145278,26355,154148.92812304
"BARX1",116,369,91325.0628489327,39646,144824.230321543
"Mafb",38,120,91367.7807017544,34756.5,122323.435500416
"SPDEF",83,334,91393.4759036145,11014,178990.698928602
"FOXP1",68,197,91435.7512254902,53191.125,110195.644948686
"FOXS1",62,181,91567.6491935484,42432.1666666667,133014.849184948
"ZIM3",61,216,91572.7418032787,24458,251918.676816798
"HIF1A",68,253,91688.3946428572,13433,161811.978554873
"RFX7",150,682,91800.1261349206,23658,189284.342078587
"HOXA10",61,188,91895.3286885246,41579,110543.410849743
"ETV4",192,1100,91940.0937065972,18013.25,165861.832972949
"GCM1",39,112,91966.0752136752,29778,125952.587762391
"MEIS1",224,1502,92180.1660238386,21831.0142857143,163208.217343001
"THAP1",102,337,92253.9385115157,15854.5,189403.353462259
"FOXK2",75,217,92327.37,51293,121129.188742716
"Nr1h3",201,862,92475.249155267,21742.4,175101.188515203
"SOX10",114,412,92476.6695802005,30086,149506.365397153
"NFKB2",32,270,92575.81875,21677,135748.035492013
"ERF",146,650,92623.4404109589,17434.75,173005.754461718
"OLIG1",23,104,92673.1413043478,30842,122875.643769627
"RAX2",91,318,92675.3304116518,30798,151962.496167713
"GSC",54,112,92725.876984127,49682.8333333333,116229.227897916
"ETV2::HOXB13",48,160,92744.6895833333,22514.3,153401.955539408
"TCF12",85,383,92886.3971342383,8960.5,249586.679672204
"NR1I3",126,349,92975.5887746512,25365,163713.947896922
"ZNF354C",209,1125,92992.6892904137,21965,202776.022288512
"IRF3",28,84,93037.2857142857,41666,104901.575566269
"ETS1",200,1124,93594.7171442308,21550.6666666667,170989.20651188
"Shox2",101,431,93613.4190990528,24799.3333333333,171032.939867128
"FOSL2",73,437,93627.5835942596,33313.4,136464.481987437
"Erg",182,866,93652.8000704424,23294.125,167868.258346429
"TEAD2",48,117,93667.003125,31279,181201.764222804
"ETV5::FOXI1",107,429,93667.1622274143,26348,143666.888184315
"PITX2",43,80,93772.8875968992,55774,109115.838070846
"ARNT::HIF1A",100,351,93849.0823974359,25143,165609.118474023
