"TFName","timepoint","n_upstream","n_downstream","median_upstream","median_downstream","difference_median_upstream_minus_downstream","wilcox_p_value","wilcox_p_adj","direction"
"CREB3L4","day_7",56,63,0.0202613355,0.013886876,0.0063744595,4.32247642933488e-06,0.000184713826080244,"upstream_higher"
"JDP2","day_0",26,98,0.017991203,0.0077051055,0.0102860975,1.50682712941565e-06,0.000194380699694618,"upstream_higher"
"JUNB","day_0",29,99,0.017144521,0.006720543,0.010423978,2.23558730474133e-06,0.000240325635259693,"upstream_higher"
"PAX5","day_7",24,37,0.018347144,0.007493824,0.01085332,6.91051241753979e-06,0.000276852403727688,"upstream_higher"
"ARNT::HIF1A","day_7",30,87,0.020546436,0.006329346,0.01421709,1.00314062065349e-05,0.000378243022258168,"upstream_higher"
"SP9","day_7",77,138,0.016365933,0.011830139,0.004535794,1.07968793091808e-05,0.000384488868732496,"upstream_higher"
"CLOCK","day_7",34,78,0.018714905,0.0081754415,0.0105394635,1.39618757965372e-05,0.000471029599241071,"upstream_higher"
"HES2","day_7",29,37,0.020634863,0.011500571,0.009134292,1.67963781025695e-05,0.000538323918187352,"upstream_higher"
"KLF11","day_7",80,127,0.0160749435,0.011830139,0.0042448045,2.27735787391323e-05,0.000695136379608753,"upstream_higher"
"EBF3","day_7",34,126,0.005806552,0.002359523,0.003447029,3.08064458379395e-05,0.000897587808278147,"upstream_higher"
"LHX6","day_7",20,80,0.019479513,0.010795675,0.008683838,3.93368281743965e-05,0.00109630029825166,"upstream_higher"
"KLF6","day_7",83,119,0.014667829,0.010703829,0.003964,4.95892417541076e-05,0.00132444599851596,"upstream_higher"
"MXI1","day_7",39,151,0.018234253,0.007646402,0.010587851,5.71541743165661e-05,0.00146543302947676,"upstream_higher"
"ATF2","day_0",13,28,0.017991203,0.007015514,0.010975689,1.73100401601924e-05,0.00159499655761773,"upstream_higher"
"HIF1A","day_0",27,62,0.018747965,0.0104803245,0.0082676405,1.98551280289223e-05,0.00160081969733186,"upstream_higher"
"MEIS1","day_7",148,361,0.012004852,0.009722519,0.002282333,7.04394127283023e-05,0.00173660244457084,"upstream_higher"
"TCF4","day_7",38,94,0.011952803,0.003280997,0.008671806,8.44506058870971e-05,0.00200043420744237,"upstream_higher"
"HIF1A","day_7",28,53,0.02320989,0.012410164,0.010799726,8.7382461479542e-05,0.00200043420744237,"upstream_higher"
"FOSL1::JUN","day_0",36,119,0.017041842,0.006941689,0.010100153,2.79869872904826e-05,0.00200573408915125,"upstream_higher"
"FOSL2::JUNB","day_0",40,131,0.017144521,0.007015514,0.010129007,3.15443463478079e-05,0.00203461033943361,"upstream_higher"
"TFAP4","day_7",56,206,0.0129663585,0.006625938,0.0063404205,9.7206526863033e-05,0.00214859943859325,"upstream_higher"
"FOSB::JUNB","day_0",41,136,0.017144521,0.007689026,0.009455495,4.01025801342194e-05,0.00230416537282918,"upstream_higher"
"TFAP2A","day_0",178,449,0.0130143165,0.017388527,-0.0043742105,4.28681929828684e-05,0.00230416537282918,"downstream_higher"
"NFIX","day_7",137,364,0.011614799,0.005721251,0.005893548,0.000146520912093354,0.00313066348839467,"upstream_higher"
"ZBTB14","day_7",27,34,0.02055186,0.0105419155,0.0100099445,0.000154315098810799,0.00319083801089425,"upstream_higher"
"Creb5","day_0",16,21,0.017991203,0.00873909,0.009252113,6.68106837352887e-05,0.00331483776994317,"upstream_higher"
"FOSL2::JUND","day_0",37,132,0.017144521,0.007689026,0.009455495,8.18306111769766e-05,0.00377005315779642,"upstream_higher"
"JUN","day_0",18,56,0.017465183,0.00896492,0.008500263,9.57238772682154e-05,0.00411612672253326,"upstream_higher"
"LHX9","day_7",20,71,0.0168815555,0.010713305,0.0061682505,0.000224170850979827,0.00449042235868967,"upstream_higher"
"Creb5","day_7",16,22,0.050263596,0.013767958,0.036495638,0.000246155208210417,0.0045954769353532,"upstream_higher"
"HOXA9","day_7",54,161,0.0141130175,0.010442053,0.0036709645,0.000249350018706909,0.0045954769353532,"upstream_higher"
"PLAGL2","day_7",44,138,0.011378765,0.001088001,0.010290764,0.000258982643300495,0.0045954769353532,"upstream_higher"
"TCF12","day_7",36,84,0.014888763,0.0033460385,0.0115427245,0.000261083402517883,0.0045954769353532,"upstream_higher"
"KLF14","day_7",95,166,0.014767541,0.01137351,0.003394031,0.000267864322179706,0.0045954769353532,"upstream_higher"
