"TFName","timepoint","n_positive_expression","n_negative_expression","n_total_positive_contrib","positive_expression_fraction","negative_expression_fraction","mean_contribution","median_contribution","global_positive_fraction","binomial_p_value","binomial_p_adj","difference_from_timepoint_global","expression_bias"
"ZSCAN21","day_0",28,23,51,0.549019607843137,0.450980392156863,0.0102088239411765,0.00803348,0.515210540681373,0.675708088519371,0.97735110294074,0.0338090671617644,"positive_expression_enriched"
"ETV4","day_0",193,173,366,0.527322404371585,0.472677595628415,0.0182561393422487,0.0151050355,0.515210540681373,0.675752213359588,0.97735110294074,0.0121118636902123,"positive_expression_enriched"
"TCF21","day_0",45,47,92,0.489130434782609,0.510869565217391,0.0155801694130435,0.01180315,0.515210540681373,0.676796677406925,0.97735110294074,-0.0260801058987636,"negative_expression_enriched"
"BCL6","day_0",2,3,5,0.4,0.6,0.013050175,0.015843465,0.515210540681373,0.678589133258446,0.97735110294074,-0.115210540681373,"negative_expression_enriched"
"E2F7","day_0",2,3,5,0.4,0.6,0.003928487,0.003928487,0.515210540681373,0.678589133258446,0.97735110294074,-0.115210540681373,"negative_expression_enriched"
"POU1F1","day_0",2,3,5,0.4,0.6,0.0018394718,0.000843069,0.515210540681373,0.678589133258446,0.97735110294074,-0.115210540681373,"negative_expression_enriched"
"POU4F1","day_0",2,3,5,0.4,0.6,0.0071027914,0.00875922,0.515210540681373,0.678589133258446,0.97735110294074,-0.115210540681373,"negative_expression_enriched"
"POU4F3","day_0",2,3,5,0.4,0.6,0.0071027914,0.00875922,0.515210540681373,0.678589133258446,0.97735110294074,-0.115210540681373,"negative_expression_enriched"
"RARA::RXRG","day_0",2,3,5,0.4,0.6,0.0170313458,0.020305129,0.515210540681373,0.678589133258446,0.97735110294074,-0.115210540681373,"negative_expression_enriched"
"EPAS1","day_0",13,10,23,0.565217391304348,0.434782608695652,0.0129600262173913,0.011991289,0.515210540681373,0.680905928134434,0.97735110294074,0.0500068506229754,"positive_expression_enriched"
"Nkx2-1","day_0",13,10,23,0.565217391304348,0.434782608695652,0.0106413890427462,0.010220119,0.515210540681373,0.680905928134434,0.97735110294074,0.0500068506229754,"positive_expression_enriched"
"PBX2","day_0",13,10,23,0.565217391304348,0.434782608695652,0.00905746595652174,0.006735908,0.515210540681373,0.680905928134434,0.97735110294074,0.0500068506229754,"positive_expression_enriched"
"HOXD9","day_0",29,24,53,0.547169811320755,0.452830188679245,0.00887578457299523,0.007870197,0.515210540681373,0.681702394301166,0.97735110294074,0.0319592706393824,"positive_expression_enriched"
"Prdm4","day_0",11,13,24,0.458333333333333,0.541666666666667,0.0185653696666667,0.011889501,0.515210540681373,0.684229654812912,0.978141100371526,-0.0568772073480396,"negative_expression_enriched"
"EGR2","day_0",30,25,55,0.545454545454545,0.454545454545455,0.0149719786363636,0.014785593,0.515210540681373,0.687396350373099,0.978141100371526,0.0302440047731724,"positive_expression_enriched"
"ZFP14","day_0",30,25,55,0.545454545454545,0.454545454545455,0.0144772777272727,0.011394803,0.515210540681373,0.687396350373099,0.978141100371526,0.0302440047731724,"positive_expression_enriched"
"E2F4","day_0",4,2,6,0.666666666666667,0.333333333333333,0.0101852798333333,0.005775949,0.515210540681373,0.688366799386461,0.978141100371526,0.151456125985294,"positive_expression_enriched"
"SMAD3","day_0",4,2,6,0.666666666666667,0.333333333333333,0.0129072895,0.0090990395,0.515210540681373,0.688366799386461,0.978141100371526,0.151456125985294,"positive_expression_enriched"
"NFIA","day_0",50,51,101,0.495049504950495,0.504950495049505,0.012278579143512,0.011481921,0.515210540681373,0.691854125332755,0.981353369266319,-0.0201610357308776,"negative_expression_enriched"
"ZNF189","day_0",28,30,58,0.482758620689655,0.517241379310345,0.0158550193965517,0.0141042605,0.515210540681373,0.693973650897138,0.982329275424851,-0.0324519199917176,"negative_expression_enriched"
"TGIF2LY","day_0",12,14,26,0.461538461538462,0.538461538461538,0.0111575765384615,0.010407488,0.515210540681373,0.695761503718367,0.982329275424851,-0.0536720791429106,"negative_expression_enriched"
"ZNF692","day_0",52,53,105,0.495238095238095,0.504761904761905,0.0135973303714286,0.011379778,0.515210540681373,0.697157266106976,0.982329275424851,-0.0199724454432776,"negative_expression_enriched"
"KLF10","day_0",120,119,239,0.502092050209205,0.497907949790795,0.012622924665272,0.011700418,0.515210540681373,0.698182819852235,0.982329275424851,-0.0131184904721676,"negative_expression_enriched"
"FOSL2::JUN","day_0",83,83,166,0.5,0.5,0.0111425874277108,0.008386718,0.515210540681373,0.698681697145925,0.982329275424851,-0.0152105406813726,"negative_expression_enriched"
"EHF","day_0",169,166,335,0.504477611940298,0.495522388059702,0.0183250294865672,0.015537792,0.515210540681373,0.702313185354163,0.985702716286545,-0.0107329287410746,"negative_expression_enriched"
"SPDEF","day_0",55,56,111,0.495495495495495,0.504504504504504,0.0186219803693694,0.014705729,0.515210540681373,0.704693849328982,0.987311872965299,-0.0197150451858776,"negative_expression_enriched"
"IRF3","day_0",13,15,28,0.464285714285714,0.535714285714286,0.0137298246428571,0.011299151,0.515210540681373,0.706152099788659,0.987625314389733,-0.0509248263956586,"negative_expression_enriched"
"ETS1","day_0",197,178,375,0.525333333333333,0.474666666666667,0.01808613088,0.014700254,0.515210540681373,0.717737699941461,1,0.0101227926519604,"positive_expression_enriched"
"Atoh1","day_0",96,96,192,0.5,0.5,0.013207731109375,0.011862755,0.515210540681373,0.71820536784506,1,-0.0152105406813726,"negative_expression_enriched"
"CREB3L1","day_0",3,4,7,0.428571428571429,0.571428571428571,0.015394406,0.015790458,0.515210540681373,0.719025757880856,1,-0.0866391121099436,"negative_expression_enriched"
"JUNB","day_0",68,60,128,0.53125,0.46875,0.0107057754921875,0.0084589325,0.515210540681373,0.724580556515227,1,0.0160394593186274,"positive_expression_enriched"
"OVOL1","day_0",5,3,8,0.625,0.375,0.0103059455,0.01050064,0.515210540681373,0.727573298161198,1,0.109789459318627,"positive_expression_enriched"
"TEAD1","day_0",5,3,8,0.625,0.375,0.02292239425,0.0148802865,0.515210540681373,0.727573298161198,1,0.109789459318627,"positive_expression_enriched"
"Tfcp2l1","day_0",37,38,75,0.493333333333333,0.506666666666667,0.01648211192,0.013209105,0.515210540681373,0.729989300852245,1,-0.0218772073480396,"negative_expression_enriched"
"SP9","day_0",108,107,215,0.502325581395349,0.497674418604651,0.0127587398790698,0.011772156,0.515210540681373,0.733185333745199,1,-0.0128849592860236,"negative_expression_enriched"
"Foxn1","day_0",449,433,882,0.509070294784581,0.49092970521542,0.0153702598749322,0.011393746,0.515210540681373,0.736236331211381,1,-0.00614024589679163,"negative_expression_enriched"
"FOXO1::FLI1","day_0",39,40,79,0.493670886075949,0.506329113924051,0.0197968662151899,0.017490277,0.515210540681373,0.736357920359261,1,-0.0215396546054236,"negative_expression_enriched"
"Zfx","day_0",39,40,79,0.493670886075949,0.506329113924051,0.0133190071898734,0.012482834,0.515210540681373,0.736357920359261,1,-0.0215396546054236,"negative_expression_enriched"
"NFE2","day_0",43,37,80,0.5375,0.4625,0.0105644405125,0.00807482,0.515210540681373,0.73777284570792,1,0.0222894593186274,"positive_expression_enriched"
"ZNF449","day_0",17,18,35,0.485714285714286,0.514285714285714,0.0105927718,0.008368254,0.515210540681373,0.738673517967196,1,-0.0294962549670866,"negative_expression_enriched"
"Lef1","day_0",20,16,36,0.555555555555556,0.444444444444444,0.0119333873888889,0.0122050495,0.515210540681373,0.739358723383646,1,0.0403450148741834,"positive_expression_enriched"
"KLF4","day_0",115,114,229,0.502183406113537,0.497816593886463,0.0122590761790393,0.010818481,0.515210540681373,0.741056319489731,1,-0.0130271345678357,"negative_expression_enriched"
"HOXA4","day_0",180,163,343,0.524781341107872,0.475218658892128,0.0109935083717797,0.009759358,0.515210540681373,0.745977762254757,1,0.00957080042649938,"positive_expression_enriched"
"ETV2","day_0",120,118,238,0.504201680672269,0.495798319327731,0.0203045124369748,0.0167629455,0.515210540681373,0.746098817008557,1,-0.0110088600091036,"negative_expression_enriched"
"PRDM9","day_0",46,40,86,0.534883720930233,0.465116279069767,0.0117594748400387,0.011678022,0.515210540681373,0.747009418881291,1,0.0196731802488603,"positive_expression_enriched"
"HOXC13","day_0",4,5,9,0.444444444444444,0.555555555555556,0.0102501797037399,0.005240546,0.515210540681373,0.747357204969258,1,-0.0707660962369286,"negative_expression_enriched"
"MYBL1","day_0",4,5,9,0.444444444444444,0.555555555555556,0.0112125916666667,0.013246377,0.515210540681373,0.747357204969258,1,-0.0707660962369286,"negative_expression_enriched"
"SOX14","day_0",4,5,9,0.444444444444444,0.555555555555556,0.00657557033333333,0.003110356,0.515210540681373,0.747357204969258,1,-0.0707660962369286,"negative_expression_enriched"
"RUNX2","day_0",78,78,156,0.5,0.5,0.0199829988141026,0.014227973,0.515210540681373,0.748817963599772,1,-0.0152105406813726,"negative_expression_enriched"
"HOXB8","day_0",47,41,88,0.534090909090909,0.465909090909091,0.00874500701528371,0.0057720455,0.515210540681373,0.749898397156098,1,0.0188803684095363,"positive_expression_enriched"
"HOXD8","day_0",47,41,88,0.534090909090909,0.465909090909091,0.00874500701528371,0.0057720455,0.515210540681373,0.749898397156098,1,0.0188803684095363,"positive_expression_enriched"
"STAT1","day_0",47,41,88,0.534090909090909,0.465909090909091,0.0159242656615327,0.012548235,0.515210540681373,0.749898397156098,1,0.0188803684095363,"positive_expression_enriched"
"Hoxd13","day_0",22,18,40,0.55,0.45,0.00726194473399397,0.0046958925,0.515210540681373,0.75236442284653,1,0.0347894593186274,"positive_expression_enriched"
"TBX20","day_0",6,4,10,0.6,0.4,0.0068697571,0.006709684,0.515210540681373,0.7550428719926,1,0.0847894593186274,"positive_expression_enriched"
"ZBTB32","day_0",6,4,10,0.6,0.4,0.0203412831,0.0198922935,0.515210540681373,0.7550428719926,1,0.0847894593186274,"positive_expression_enriched"
"ZNF343","day_0",6,4,10,0.6,0.4,0.0089829885,0.0099049415,0.515210540681373,0.7550428719926,1,0.0847894593186274,"positive_expression_enriched"
"FOSL2::JUND","day_0",85,84,169,0.502958579881657,0.497041420118343,0.0115891883786982,0.008518961,0.515210540681373,0.758787832232743,1,-0.0122519607997156,"negative_expression_enriched"
