"TFName","timepoint","expression_direction","n_observations","pearson_r","pearson_p_value","spearman_rho","spearman_p_value","pearson_p_adj","spearman_p_adj","abs_pearson_r","abs_spearman_rho"
"ZNF211","day_1","negative_expression",6,-0.499685706323887,0.31285365445549,-0.17654696590095,0.737930932435343,0.882329763252904,0.933631876727355,0.499685706323887,0.17654696590095
"ZNF610","day_1","negative_expression",32,-0.0169527040181616,0.926626537256628,0.0628157176056889,0.732697537535369,0.997774976357545,0.933631876727355,0.0169527040181616,0.0628157176056889
"Prdm14","day_1","negative_expression",18,0.0488748640076171,0.847283073469032,-0.0797103157679985,0.753213999989373,0.996003310089952,0.934881500892963,0.0488748640076171,0.0797103157679985
"TFAP2E","day_1","negative_expression",260,0.0848954043804861,0.172326467762304,-0.0195549195095085,0.753654471976547,0.816645925173012,0.934881500892963,0.0848954043804861,0.0195549195095085
"CDX4","day_1","negative_expression",20,0.14089637319757,0.553513348510262,0.0744921204105586,0.754947706927941,0.929073071549068,0.934935239705463,0.14089637319757,0.0744921204105586
"TEAD3","day_1","negative_expression",67,-0.0466484013355446,0.707770476219138,-0.0385506096722169,0.756768443553479,0.954674159320625,0.935640984757029,0.0466484013355446,0.0385506096722169
"IRF3","day_1","negative_expression",11,0.243916584743428,0.469807216099287,0.105023925944761,0.758602917769562,0.922351174914085,0.936361357246918,0.243916584743428,0.105023925944761
"TBX5","day_1","negative_expression",57,0.0988583591369041,0.464398192519024,0.0411782853715723,0.761028372071228,0.919031231691847,0.937807615007049,0.0988583591369041,0.0411782853715723
"Elf5","day_1","negative_expression",207,0.0155553398885009,0.823955345138832,-0.0211436101443524,0.762350749002291,0.996003310089952,0.937892039890976,0.0155553398885009,0.0211436101443524
"FOXE1","day_1","negative_expression",19,-0.0432799569265035,0.860351188772381,-0.072902949498706,0.766773659157748,0.996003310089952,0.940240486967206,0.0432799569265035,0.072902949498706
"INSM1","day_1","negative_expression",21,-0.0593428440615646,0.798324623839462,0.06896553183807,0.766434958343228,0.996003310089952,0.940240486967206,0.0593428440615646,0.06896553183807
"MAFG::NFE2L1","day_1","negative_expression",22,-0.0158565752864224,0.94416448627736,0.0667043633994877,0.768042205390578,0.997774976357545,0.940254614782574,0.0158565752864224,0.0667043633994877
"Foxn1","day_1","negative_expression",486,0.0112755838516945,0.804178796514412,0.0132579374053182,0.770640789861796,0.996003310089952,0.940357766421898,0.0112755838516945,0.0132579374053182
"Nkx2-1","day_1","negative_expression",16,0.122343200332114,0.65171700140775,-0.0794702201902101,0.769860281071312,0.929073071549068,0.940357766421898,0.122343200332114,0.0794702201902101
"EVX1","day_1","negative_expression",125,0.0536466012291448,0.552385236581182,0.0259589372450739,0.773834820730352,0.929073071549068,0.941184464888298,0.0536466012291448,0.0259589372450739
"MAF::NFE2","day_1","negative_expression",25,0.0264035270157439,0.900301656028881,0.0608043113045879,0.772792686842035,0.996546971574183,0.941184464888298,0.0264035270157439,0.0608043113045879
"Npas4","day_1","negative_expression",19,-0.170106799130008,0.486278054517299,-0.0694200619515921,0.777642458977141,0.929073071549068,0.944280128757957,0.170106799130008,0.0694200619515921
"BHLHE22","day_1","negative_expression",186,0.0727512767038335,0.323733447935388,-0.0206132386210459,0.780044067332986,0.882329763252904,0.945661203184884,0.0727512767038335,0.0206132386210459
"EVX2","day_1","negative_expression",142,0.0601803271623562,0.476812825137804,0.0229079015540286,0.786697240130538,0.927134107500207,0.949684943101665,0.0601803271623562,0.0229079015540286
"HSF4","day_1","negative_expression",6,0.0425794228290906,0.936169464157476,0.142857142857143,0.787172011661808,0.997774976357545,0.949684943101665,0.0425794228290906,0.142857142857143
"ZBTB12","day_1","negative_expression",43,-0.0862223225703102,0.582482279255823,0.0425387274540203,0.786507971224927,0.929073071549068,0.949684943101665,0.0862223225703102,0.0425387274540203
"ATF4","day_1","negative_expression",13,-0.0202188633091738,0.947727894130147,0.0716253443526171,0.816130623619241,0.997774976357545,0.950420049912179,0.0202188633091738,0.0716253443526171
