"TF1","TF2","timepoint","n_TF1_only","n_TF2_only","n_Both_TFs","median_TF1_only","median_TF2_only","median_Both_TFs","mean_TF1_only","mean_TF2_only","mean_Both_TFs","p_Both_vs_TF1","p_Both_vs_TF2","p_TF1_vs_TF2","p_adj_Both_vs_TF1","p_adj_Both_vs_TF2","p_adj_TF1_vs_TF2","diff_Both_minus_TF1","diff_Both_minus_TF2","diff_TF1_minus_TF2"
"ELF2","VAX2","day_7",57,43,155,-0.0589957605180556,-0.0575160440601669,-0.0810043391541726,0.0212005192474295,0.0956525720198856,-0.0201414715620154,0.744611904855473,0.357353999284228,0.52182173429268,0.875188640675972,0.596560028048629,0.791478192571068,-0.022008578636117,-0.0234882950940057,-0.0014797164578887
"ELF2","ZNF354C","day_0",59,56,153,0.154625821881937,0.369366187481548,-0.129670434745797,0.0715767720847078,0.130300717775622,0.00226091222084543,0.722779924625067,0.377817036110061,0.664539747858325,0.854595308552525,0.853139144662917,0.914210738083924,-0.284296256627734,-0.499036622227345,-0.214740365599611
"ELF2","ZNF354C","day_1",59,56,153,0.324263874746177,0.078867903244819,-0.0564876440030817,0.186031885673202,0.0183324548513116,-0.0890936724346218,0.0139620015335696,0.372255929007483,0.223593242604851,0.0948898436338673,0.70086057159799,0.469663463659571,-0.380751518749259,-0.135355547247901,0.245395971501358
"ELF2","ZNF354C","day_7",59,56,153,-0.364266763958703,-0.340189600889703,0.057919315238836,-0.257608657757909,-0.148633172626934,0.0868327602137761,0.00502400080384559,0.0627872353566837,0.461844606179301,0.102412324078391,0.193915872349449,0.750851660352852,0.422186079197539,0.398108916128538,-0.0240771630690005
"ELF3","BARHL2","day_0",59,57,135,0.366509562855586,0.311748042497322,-0.264492035058818,0.156552554881853,0.101691360403904,-0.0606596634541723,0.282061199602003,0.370572066520715,0.699071835089194,0.66123365987808,0.853139144662917,0.914210738083924,-0.631001597914404,-0.57624007755614,0.054761520358264
"ELF3","BARHL2","day_1",59,57,135,0.0670555235158973,-0.157226566722531,0.0115333902027491,-0.00033653208580274,-0.104857934027982,0.0140548927301963,0.918086183569669,0.286443925566983,0.373938860773249,0.989257143372048,0.661465677463,0.581411110146988,-0.0555221333131482,0.16875995692528,0.224282090238428
"ELF3","BARHL2","day_7",59,57,135,-0.315646276739196,-0.0930580584570507,0.0318157572014502,-0.15621602279605,0.00316657362407827,0.0466047707239763,0.0987232064964124,0.735164932350034,0.289000671277848,0.391044959717856,0.873626489115512,0.646389505548756,0.347462033940646,0.124873815658501,-0.222588218282145
"ELK4","BARHL2","day_0",70,52,140,0.540676856429614,0.240991453757795,-0.167942436511126,0.178183182684881,0.0624796896492335,-0.0402970777503634,0.247058617035896,0.573727333593145,0.536137321769559,0.643028398009989,0.859774538113653,0.858604342054056,-0.70861929294074,-0.408933890268921,0.29968540267182
"ELK4","BARHL2","day_1",70,52,140,0.0581037744594278,-0.102926801013088,0.00706678723016278,-0.0613098536403118,-0.1063401929639,0.0103585593793163,0.525577875385681,0.338516486699828,0.658024058605966,0.9470988914041,0.692666839952026,0.789033373441542,-0.0510369872292651,0.109993588243251,0.161030575472516
"ELK4","BARHL2","day_7",70,52,140,-0.224858974735441,-0.0947512162739335,0.000106819843671195,-0.116873329044569,0.0438605033146659,0.0299385183710474,0.17616679271867,0.938269718095907,0.275809355853718,0.463108451402943,0.969928554628201,0.646389505548756,0.224965794579112,0.0948580361176047,-0.130107758461508
"ELK4","DMRTA2","day_0",53,41,157,0.226493599556893,0.433972599670305,0.0221007100630478,0.00568938647709079,0.209994338513715,0.0415904103159554,0.347963311816882,0.260020929058958,0.13708481206227,0.682622308300193,0.853139144662917,0.566001901182493,-0.204392889493845,-0.411871889607257,-0.207479000113412
"ELK4","DMRTA2","day_1",53,41,157,0.312537428991788,-0.285457144147337,-0.122015184277371,0.135791359719892,-0.178107776370354,-0.0639390669227503,0.0835068283362322,0.360111523726589,0.0388114440583495,0.365876567037217,0.70086057159799,0.197789089912743,-0.434552613269159,0.163441959869966,0.597994573139125
"ELK4","DMRTA2","day_7",53,41,157,0.057919315238836,-0.26700754397558,-0.0810043391541726,-0.141480746196983,-0.0318865621433623,0.0223486566067953,0.114923181704976,0.69296708046681,0.376471298162138,0.406061908690916,0.840306619700964,0.665099293419778,-0.138923654393009,0.186003204821407,0.324926859214416
"ELK4","HOXA4","day_0",73,60,137,-0.0967774283185979,0.402647720573726,0.126461228687445,-0.0500753613965023,0.204468527691611,0.076545498429456,0.252358314690713,0.276821015251344,0.0647309098613748,0.643028398009989,0.853139144662917,0.46344460841937,0.223238657006043,-0.276186491886282,-0.499425148892324
"ELK4","HOXA4","day_1",73,60,137,0.268042995553759,-0.284667631854254,-0.273231126645077,0.20659697400674,-0.158911962405586,-0.130825332439486,0.001328452233183,0.784937503448946,0.0041767719034023,0.0220024901120935,0.906526748343978,0.0651085032000947,-0.541274122198836,0.0114365052091775,0.552710627408013
"ELK4","HOXA4","day_7",73,60,137,-0.315646276739196,-0.274924032566576,-0.00347637101929912,-0.156521612610237,-0.045556565286025,0.0542798340100298,0.0407520415549351,0.373858230200004,0.278832519908697,0.299980305890494,0.611558216067908,0.646389505548756,0.312169905719897,0.271447661547277,-0.0407222441726195
"ELK4","NFIX","day_0",57,50,153,0.154625821881937,0.240991453757795,-0.0737599696237127,0.0282778210978761,0.0879596689966266,0.0341137000020383,0.431555272720237,0.740365288074615,0.563560374688135,0.719258787867062,0.935950112612648,0.868276158676487,-0.22838579150565,-0.314751423381508,-0.086365631875858
"ELK4","NFIX","day_1",57,50,153,0.53828738423478,0.116934033183968,-0.131213383690474,0.228912675916676,0.0307098692139809,-0.103853032476916,0.00381195195230513,0.304239419609739,0.241706412007765,0.0388525872061869,0.668221198033261,0.480319456084666,-0.669500767925254,-0.248147416874443,0.421353351050811
"ELK4","NFIX","day_7",57,50,153,-0.201413201609389,-0.318279632379983,-0.011136532639194,-0.257190497014554,-0.118669538210607,0.069739332474878,0.00455200720147321,0.157706574303703,0.350580522311441,0.100523492365867,0.36446062749975,0.646389505548756,0.190276668970195,0.307143099740789,0.116866430770594
